cohort	cohort_role	genetic_background	region	estimand	cell_type	gene	effect_scale	effect	se	ci_low	ci_high	p_value	adjusted_p	adjusted_p_scope	n_donors	source_file	direction	significant_adjusted_0_05	meta_eligible	meta_exclusion_reason
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	CCT8	log2FC	-0.85249647921437	0.551250908580986	-1.9329482600331	0.227955301604363	0.136663095009798	0.731450805611097	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	CCT8	log2FC	0.28957295994109	0.31763445119484	-0.332990564400797	0.912136484282977	0.365220630483221	0.831088064215478	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	CHORDC1	log2FC	0.584269803913648	0.431311613536565	-0.26110095861802	1.42964056644532	0.189675726703594	0.785663654096186	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	CHORDC1	log2FC	-0.119441607869794	0.400735354942573	-0.904882903557237	0.66599968781765	0.76659942268338	0.957466457742155	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	COA3	log2FC	-3.11658695040696	1.06586006973879	-5.20567268709498	-1.02750121371894	0.00796394370435311	0.340010064932213	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	COA3	log2FC	0.350456242550383	0.352751975294333	-0.34093762902651	1.04185011412728	0.324046591767975	0.810655691673266	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	COX5B	log2FC	-1.71864376135115	1.34620423384057	-4.35720405967866	0.91991653697636	0.2154142199698	0.805816763476292	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	COX5B	log2FC	0.378785240875896	0.491339885239857	-0.584240934194225	1.34181141594602	0.443565717719135	0.863864314534952	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	COX7C	log2FC	-1.30000303067751	1.03384201886703	-3.32633338765689	0.726327326301874	0.222152384587259	0.810416998893458	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	COX7C	log2FC	0.586806188472513	0.450829114248219	-0.296818875453996	1.47043125239902	0.197645366158319	0.746748308585631	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	DOCK7	log2FC	-0.0898895886294895	0.166329096864197	-0.415894618483315	0.236115441224336	0.594361590393511	0.949627902657532	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	DOCK7	log2FC	-0.214045903939239	0.199967382350826	-0.605981973346857	0.17789016546838	0.288280319449525	0.795079174900251	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	HSP90AA1	log2FC	0.675329936971736	1.19529075821217	-1.66743994912412	3.01809982306759	0.577959372387428	0.946070687960538	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	HSP90AA1	log2FC	-0.0131777312500088	0.486374533848577	-0.966471817593218	0.940116355093201	0.978468693945864	0.99611509055299	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	HSP90AB1	log2FC	-0.243084371005497	0.963798818620466	-2.13213005550161	1.64596131349062	0.80328355470603	0.981137219167196	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	HSP90AB1	log2FC	0.166233493526952	0.424847885474271	-0.66646836200262	0.998935349056524	0.696871837238051	0.943781226018938	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	MAP1B	log2FC	1.19331577249506	1.02413273537485	-0.813984388839645	3.20061593382976	0.256774152950149	0.832433297391629	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	MAP1B	log2FC	0.852223905248788	0.410267262098184	0.0481000715363478	1.65634773896123	0.0417309882028481	0.572508244038417	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	MAPT	log2FC	0.522886786905137	0.157100780894626	0.214969256351671	0.830804317458603	0.00306767344376101	0.266052161438628	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	MAPT	log2FC	0.40972976434973	0.229239729248756	-0.0395801049778308	0.859039633677291	0.0784072765915891	0.642003712258013	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	PARK7	log2FC	-1.51657599667304	1.33085230582595	-4.1250465160919	1.09189452274582	0.267078160669982	0.838374363887627	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	PARK7	log2FC	0.263282684981194	0.333200891320225	-0.389791062006447	0.916356431968835	0.432227810558131	0.859266910737991	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Astrocyte	STARD13	log2FC	-0.312299929015857	0.227681863124278	-0.758556380739443	0.133956522707729	0.184154754487111	0.780446556729855	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Astrocyte	STARD13	log2FC	-0.261716344406727	0.234939895613803	-0.722198539809781	0.198765850996327	0.26927370375277	0.786261462559216	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	ARHGAP35	log2FC	-0.120461243903289	0.159370298592095	-0.432827029143796	0.191904541337218	0.4524913726888	0.955095214462421	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	ARHGAP39	log2FC	-0.0221156707445003	0.215245170876095	-0.443996205661646	0.399764864172646	0.918483599299518	0.991066641743468	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	BAG3	log2FC	-0.302750077409765	0.3426046630986	-0.974255217083022	0.368755062263492	0.380161441055955	0.951221997031249	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	BCR	log2FC	0.0714477326803777	0.2081577251552	-0.336541408623814	0.479436873984569	0.732537404212259	0.979815261280764	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	CCT5	log2FC	0.266745631267523	0.292929837272594	-0.307396849786762	0.840888112321808	0.365896325353318	0.951221997031249	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	CCT8	log2FC	0.127663505154714	0.225358745311852	-0.314039635656516	0.569366645965944	0.57303024254724	0.961926389187082	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	CHORDC1	log2FC	0.109640186882713	0.297862541155341	-0.474170393781754	0.69345076754718	0.714019397893063	0.977804869382635	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	COA3	log2FC	0.267680194890248	0.338518838744792	-0.395816729049544	0.93117711883004	0.431999346650215	0.955065729165132	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	COX5B	log2FC	0.125062253043826	0.515822889342709	-0.885950610067884	1.13607511615554	0.809210437065214	0.986693609807435	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	COX7C	log2FC	0.566689086337167	0.532150179355242	-0.476325265199107	1.60970343787344	0.290946867943124	0.95115596365832	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	DOCK7	log2FC	-0.162377771840435	0.142507201729486	-0.441691887230228	0.116936343549358	0.258743261238151	0.95115596365832	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	HSP90AA1	log2FC	0.185067267908085	0.385087574738644	-0.569704378579657	0.939838914395827	0.632461185256818	0.96941809462127	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	HSP90AB1	log2FC	0.0611472128002255	0.306626102907341	-0.539839948898163	0.662134374498614	0.842569460614677	0.98717439525933	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	MAP1B	log2FC	-0.110418292162091	0.179065502084736	-0.461386676248175	0.240550091923993	0.539649112774826	0.958517043749386	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	MAPT	log2FC	-0.0481987792600833	0.139353396987309	-0.32133143735521	0.224933878835043	0.730564778885427	0.979699775691292	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	PARK7	log2FC	0.198994881346462	0.33085502504005	-0.449480967732035	0.847470730424959	0.54965853709176	0.959852721578363	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Excitatory neuron	STARD13	log2FC	-0.415280150152546	0.209967889380094	-0.826817213337531	-0.00374308696756098	0.0522317444116201	0.95115596365832	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	ARHGAP35	log2FC	-0.136154033586251	0.150527185041321	-0.431187316267241	0.158879249094739	0.369025176718717	0.935417016610762	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	ARHGAP39	log2FC	-0.0997064416040034	0.178774155690093	-0.450103786756585	0.250690903548578	0.578927746025954	0.957852869691695	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	BAG3	log2FC	-0.141983914269057	0.40932399597142	-0.94425894637304	0.660291117834926	0.729793692910781	0.978237334617805	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	BCR	log2FC	-0.287216130051557	0.178167940361449	-0.636425293159998	0.0619930330568838	0.111740989670315	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	CCT5	log2FC	0.481428477194516	0.241306303226006	0.00846812287154436	0.954388831517488	0.0501802807778284	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	CCT8	log2FC	0.354286862511584	0.221676072520534	-0.0801982396286622	0.78877196465183	0.114789646761974	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	CHORDC1	log2FC	0.134120953260778	0.311665668613531	-0.476743757221742	0.744985663743298	0.668396040177181	0.971373804550987	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	COA3	log2FC	0.505725579423957	0.352477484844721	-0.185130290871697	1.19658144971961	0.156091406119149	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	COX5B	log2FC	0.331459438891266	0.491909292390956	-0.632682774195009	1.29560165197754	0.502901037161434	0.945380034064481	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	COX7C	log2FC	0.720776035915203	0.514210108036163	-0.287075775835677	1.72862784766608	0.16593172274861	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	DOCK7	log2FC	-0.187047312167165	0.143889456227135	-0.469070646372349	0.0949760220380194	0.198161465358198	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	HSP90AA1	log2FC	0.374389290129754	0.325650770578511	-0.263886220204127	1.01266480046364	0.254618715191665	0.93344037685048	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Inhibitory neuron	HSP90AB1	log2FC	0.28012470089012	0.247532487739389	-0.205038975079083	0.765288376859323	0.261937930949589	0.933924195148262	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
