cell_type	contrast	set_id	set_label	full_NES	full_pval	full_comparison_FDR	full_global_primary_FDR	valid_iterations	total_donors	direction_concordant_n	direction_concordant_fraction	sign_flip_n	median_LOO_NES	minimum_LOO_NES	maximum_LOO_NES	global_FDR_lt_0_05_n	global_FDR_lt_0_05_same_direction_n	robustness_label	inference_note	model_test	primary_FDR_family	LOO_boundary
Inh	C9_FTD_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	2.04316032507128	1e-10	4.16499695200525e-10	9.5e-10	37	37	37	1	0	2.05761385879913	1.76255785280425	2.31215362151168	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_FTD_vs_Ctrl_Frontal	axon_development	Axon development	1.94724521701452	1.18999912914436e-10	4.16499695200525e-10	1.05513256117466e-09	37	37	37	1	0	1.9401716973655	1.63650809481179	2.30965062233045	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	2.41436614497701	2.131550013017e-10	1.4920850091119e-09	1.77185094832038e-09	37	37	37	1	0	2.39001269892065	2.11875008583161	2.74486095203494	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	2.40891776409116	2.4356408923878e-10	1.70494862467146e-09	1.90553081580927e-09	37	37	37	1	0	2.38561329778	1.83008215755947	3.0478216394337	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_Ctrl_Frontal	protein_folding	Protein folding	2.13730964257771	3.41792938760819e-10	1.19627528566287e-09	2.52547004751049e-09	37	37	37	1	0	2.17627640404895	1.80717782804813	2.51322592531031	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	axon_development	Axon development	-1.97385205071205	8.5060118542575e-10	2.97710414899012e-09	5.95420829798025e-09	37	37	37	1	0	-1.92610357306761	-2.18285726054575	-1.76982662179986	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_FTD_vs_Ctrl_Frontal	small_GTPase	Small GTPase	1.80676113332675	1.1710823149182e-09	2.7325254014758e-09	7.78769739420603e-09	37	37	37	1	0	1.81353483243006	1.50984425090866	2.10321070272905	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	2.29967397787797	2.0454495199554e-09	1.43181466396878e-08	1.29545136263842e-08	37	37	37	1	0	2.28701339706382	2.04635571832849	2.79872557041112	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_Ctrl_Frontal	protein_folding	Protein folding	2.07149857372981	3.35172568295062e-09	1.17310398903272e-08	2.02627052651105e-08	37	37	37	1	0	2.06324259889328	1.73668480898121	2.36186371407159	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_FTD_vs_Ctrl_Frontal	small_GTPase	Small GTPase	1.74194855212696	4.36548171849436e-09	1.52791860147303e-08	2.52438725460761e-08	37	37	37	1	0	1.76978446777514	1.45087743181413	1.98163180239662	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	2.22522215436636	1.61953339309677e-08	1.13367337516774e-07	8.97491422007794e-08	37	37	37	1	0	2.19253361622336	1.5481339327131	2.75175252015829	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_ALS_vs_Ctrl_Frontal	protein_stabilization	Protein stabilization	1.95990612445624	2.56180736726216e-08	5.97755052361172e-08	1.36288151938347e-07	37	37	37	1	0	1.98383786232322	1.82606234103571	2.18109112237609	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_FTD_vs_Ctrl_Frontal	axon_development	Axon development	1.76790818956708	2.88382377869739e-08	6.7289221502939e-08	1.47518677910289e-07	37	37	37	1	0	1.77678957040172	1.51992436151351	2.17093705547036	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	-1.79358892710395	5.33760704420265e-08	1.86816246547093e-07	2.62926569214427e-07	37	37	37	1	0	-1.80426478643747	-2.04120515208411	-1.60774918226896	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Vascular	C9_FTD_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	-2.17824530583219	5.68621948039072e-08	3.98035363627351e-07	2.70095425318559e-07	37	37	37	1	0	-2.17824530583219	-2.66175907422365	-1.54209153795286	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	small_GTPase	Small GTPase	-1.76097288861954	7.08936091594623e-08	2.48127632058118e-07	3.25132759248568e-07	37	37	37	1	0	-1.75135880468248	-1.96724885078622	-1.47917320339502	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	small_GTPase	Small GTPase	-1.73890158493508	2.38438557364422e-07	5.46828868250893e-07	1.05707760431561e-06	37	37	37	1	0	-1.75243054066869	-1.99460006578079	-1.54137355814069	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_FTD_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	-2.08768603077873	2.98379708481721e-07	5.22164489843012e-07	1.28014520090545e-06	37	37	37	1	0	-2.06584754933114	-2.45083027455922	-1.64400985314781	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	2.13316345765382	3.1247363900051e-07	5.46828868250893e-07	1.29871856209587e-06	37	37	37	1	0	2.1876612628278	1.85494571165649	2.75717559191641	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	protein_folding	Protein folding	1.90013309563704	4.36695610342459e-07	1.52843463619861e-06	1.76001564168324e-06	37	37	37	1	0	1.90564486682911	1.46786033759285	2.15773399350839	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_Ctrl_Frontal	small_GTPase	Small GTPase	-1.72433039365185	5.15976880909864e-07	1.20394605545635e-06	2.01838015179447e-06	37	37	37	1	0	-1.70760014137556	-1.8840503348753	-1.35493108691558	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	-1.67052067987399	1.01594240176265e-06	2.37053227077951e-06	3.86058112669805e-06	37	37	37	1	0	-1.66014845431938	-1.90122998739909	-1.12220474441047	36	36	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_Ctrl_Frontal	axon_development	Axon development	-1.67037862850223	1.55421454083286e-06	1.087950178583e-05	5.74195927585473e-06	36	37	36	1	0	-1.51978833253192	-2.02960179761609	-1.01596989161739	28	28	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	protein_folding	Protein folding	1.75463879088336	6.43001988273409e-06	9.00202783582772e-06	2.31133147136117e-05	37	37	37	1	0	1.69814347474007	1.42693570419206	1.97918726695829	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	-1.60179205592327	7.19077385436683e-06	1.97302997356612e-05	2.51677084902839e-05	36	37	36	1	0	-1.5541212821397	-1.87797042443453	-1.07003058596167	33	33	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_Ctrl_Frontal	small_GTPase	Small GTPase	-1.67256889185887	8.088934862999e-06	1.88741813469977e-05	2.75853419686889e-05	37	37	37	1	0	-1.65973877891575	-1.83929977457118	-1.46405577544464	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_Ctrl_Frontal	small_GTPase	Small GTPase	-1.577655495542	8.45584274385481e-06	1.97302997356612e-05	2.81156771233173e-05	36	37	36	1	0	-1.51249873291118	-1.82150233435251	-0.97872046679268	24	24	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_FTD_vs_Ctrl_Frontal	protein_folding	Protein folding	1.76135842209651	1.74708804784764e-05	0.000122296163349335	5.66738317960331e-05	37	37	37	1	0	1.72102221452586	1.46381205726241	2.19879348159879	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	1.88121834545695	2.54569537450309e-05	4.45496690538041e-05	8.06136868592646e-05	37	37	37	1	0	1.88862626189991	1.58641570734168	2.41308410868193	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_FTD_vs_Ctrl_Frontal	axon_development	Axon development	1.56079971579756	3.01947591688051e-05	0.000211363314181635	9.33930923128156e-05	37	37	37	1	0	1.5701150607759	1.31177805298679	1.85165931846614	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_ALS_vs_Ctrl_Frontal	heat_response	Heat response	1.95390031116506	3.37045955830788e-05	5.89830422703878e-05	0.000101879800285215	37	37	37	1	0	1.98195414070529	1.62601337656576	2.15956733700339	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_FTD_vs_Ctrl_Frontal	small_GTPase	Small GTPase	1.5450456354864	4.2416751055371e-05	0.000296917257387597	0.000125365064230319	37	37	37	1	0	1.54395905331176	1.35561376628213	1.86238922752408	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_FTD_vs_Ctrl_Frontal	protein_stabilization	Protein stabilization	1.72783148209309	8.62964894300373e-05	0.000223795374608896	0.000249509415091195	37	37	37	1	0	1.69317042611605	1.52265658191471	1.92189937632303	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_FTD_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	1.78545509256534	9.59123034038124e-05	0.000223795374608896	0.000271411411759724	37	37	37	1	0	1.81209358065848	1.36395556906448	2.12470146104878	36	36	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_Ctrl_Frontal	small_GTPase	Small GTPase	-1.51834860412847	9.89658898063804e-05	0.000173190307161166	0.000274217986338512	37	37	37	1	0	-1.5392967862666	-1.88763057780262	-0.961074848304706	36	36	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Vascular	C9_FTD_vs_Ctrl_Frontal	axon_development	Axon development	-1.5646945563837	0.000134512778629411	0.000470794725202939	0.000365106113422688	37	37	37	1	0	-1.5646945563837	-1.87524838919641	-0.953801271686889	35	35	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_FTD_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	1.47485713114834	0.000143013136128465	0.000500545976449627	0.000380414942101717	37	37	37	1	0	1.46589758888718	1.20670275709983	1.75696401680884	35	35	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
