contrast	set_id	set_label	significant_axes	significant_cell_types	positive_axes	negative_axes	best_global_FDR	all_significant_axes_same_direction	consensus_direction	contrast_label	n_donors_min	n_donors_max	valid_LOO_min	valid_LOO_max	model_test	covariates	primary_FDR_family	estimand_boundary
C9_ALS_vs_Ctrl_Frontal	small_GTPase	Small GTPase	5	5	0	5	2.01838015179447e-06	TRUE	negative	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_Ctrl_Frontal	axon_development	Axon development	3	3	0	3	5.74195927585473e-06	TRUE	negative	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_ALS_vs_Ctrl_Frontal	heat_response	Heat response	2	2	2	0	0.000101879800285215	TRUE	positive	C9_ALS vs control_Frontal	37	37	36	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	4	4	4	0	9.5e-10	TRUE	positive	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	axon_development	Axon development	5	5	4	1	1.05513256117466e-09	FALSE	mixed	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	small_GTPase	Small GTPase	4	4	4	0	7.78769739420603e-09	TRUE	positive	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	5	5	1	4	2.70095425318559e-07	FALSE	mixed	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	protein_folding	Protein folding	1	1	1	0	5.66738317960331e-05	TRUE	positive	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	protein_stabilization	Protein stabilization	1	1	1	0	0.000249509415091195	TRUE	positive	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
C9_FTD_vs_Ctrl_Frontal	heat_response	Heat response	1	1	1	0	0.0120509147008666	TRUE	positive	C9_FTD vs control_Frontal	37	37	37	37	donor-blocked limma pseudobulk ranking followed by FGSEA	group/cell means, sex, standardized age; donor block	global BH across frozen primary Gittings family-by-cell-type-by-contrast axes	within-partition disease-control contrasts primary; partition-bridged ALS-versus-FTD DiD secondary
